Control,Status,Risk Score,Department,Owner,Created Date,Resolved Date,Framework,Control Description,Evidence,SLA Days,Access Type,MTTR Days
C0038,Completed,9,Finance,Mark,2025-03-04,2025-03-28,NIST,User Access Review,log_patch_001.pdf,30,Admin System,24.0
C0039,Failed,1,HR,Jane,2025-03-05,2025-03-27,HIPAA,Encryption Control,vuln_scan_report.pdf,30,Admin System,22.0
C0040,Completed,5,IT,Brian,2025-03-02,2025-03-06,HIPAA,Encryption Control,incident_log.txt,14,Database,4.0
C0041,Completed,8,IT,Alice,2025-02-23,2025-02-26,HIPAA,Patch Management,access_review.xlsx,30,Admin System,3.0
C0042,Completed,2,IT,Susan,2025-03-14,2025-03-17,PCI-DSS,Incident Response,log_patch_001.pdf,7,Database,3.0
C0043,Completed,4,Finance,Mary,2025-02-27,2025-03-21,NIST,Incident Response,log_patch_001.pdf,14,Admin System,22.0
C0044,In Progress,7,IT,John,2025-03-26,,NIST,Patch Management,firewall_config.png,14,Database,
C0045,Completed,3,Risk,Mary,2025-02-25,2025-03-10,PCI-DSS,Incident Response,incident_log.txt,30,Database,13.0
C0046,Failed,5,Operations,Mary,2025-02-03,2025-02-11,NIST,Firewall Configuration,access_review.xlsx,14,Database,8.0
C0047,Completed,8,Finance,Mark,2025-01-31,2025-02-07,HIPAA,Incident Response,vuln_scan_report.pdf,7,Application,7.0
C0048,Failed,3,HR,Jane,2025-02-21,2025-02-22,NIST,Incident Response,firewall_config.png,7,Admin System,1.0
C0049,Failed,4,HR,John,2025-03-30,2025-04-15,PCI-DSS,Incident Response,access_review.xlsx,14,Database,16.0
C0050,Completed,9,Operations,John,2025-03-17,2025-03-23,HIPAA,Firewall Configuration,incident_log.txt,30,Application,6.0
C0051,In Progress,7,Finance,Brian,2025-01-01,,PCI-DSS,Incident Response,access_review.xlsx,30,Database,
C0052,In Progress,1,IT,Brian,2025-02-24,,HIPAA,Vulnerability Scan,log_patch_001.pdf,14,Application,
C0053,In Progress,4,IT,John,2025-01-22,,HIPAA,Firewall Configuration,log_patch_001.pdf,7,Database,
C0054,In Progress,4,Risk,Susan,2025-02-09,,NIST,Patch Management,firewall_config.png,14,Database,
C0055,Failed,9,Risk,David,2025-01-01,2025-01-08,HIPAA,User Access Review,incident_log.txt,30,Application,7.0
C0056,In Progress,6,IT,Brian,2025-03-06,,PCI-DSS,Patch Management,incident_log.txt,30,Application,
C0057,Completed,9,HR,David,2025-03-04,2025-03-16,NIST,User Access Review,access_review.xlsx,14,Admin System,12.0
C0058,Completed,6,HR,Mark,2025-02-23,2025-03-18,PCI-DSS,Patch Management,firewall_config.png,7,Admin System,23.0
C0059,Completed,6,Risk,Susan,2025-02-11,2025-02-20,HIPAA,Vulnerability Scan,incident_log.txt,14,Application,9.0
C0060,Completed,5,Operations,John,2025-01-21,2025-02-01,PCI-DSS,User Access Review,log_patch_001.pdf,7,Admin System,11.0
C0061,Completed,5,IT,Susan,2025-03-20,2025-03-30,PCI-DSS,User Access Review,access_review.xlsx,7,Application,10.0
C0062,Completed,2,Risk,Brian,2025-03-22,2025-04-12,HIPAA,Encryption Control,vuln_scan_report.pdf,14,Admin System,21.0
C0063,In Progress,8,Risk,Mary,2025-01-22,,NIST,User Access Review,log_patch_001.pdf,14,Database,
C0064,Completed,8,IT,Mark,2025-02-07,2025-02-08,PCI-DSS,User Access Review,firewall_config.png,7,Admin System,1.0
C0065,Completed,1,IT,John,2025-03-21,2025-04-08,HIPAA,Encryption Control,incident_log.txt,7,Database,18.0
C0066,Failed,8,HR,Alice,2025-01-08,2025-01-12,NIST,Incident Response,log_patch_001.pdf,7,Database,4.0
C0067,Completed,5,Operations,Mark,2025-03-03,2025-03-08,NIST,Incident Response,vuln_scan_report.pdf,7,Admin System,5.0
C0068,In Progress,2,Operations,Jane,2025-02-16,,NIST,Encryption Control,vuln_scan_report.pdf,30,Application,
C0069,Completed,2,IT,David,2025-01-17,2025-01-26,PCI-DSS,Firewall Configuration,firewall_config.png,14,Database,9.0
C0070,In Progress,6,Finance,Susan,2025-01-17,,PCI-DSS,User Access Review,log_patch_001.pdf,7,Database,
C0071,In Progress,9,Risk,John,2025-03-31,,PCI-DSS,User Access Review,access_review.xlsx,14,Admin System,
C0072,Completed,1,Risk,Mark,2025-01-13,2025-01-30,NIST,Encryption Control,log_patch_001.pdf,7,Application,17.0
C0073,Completed,6,IT,Susan,2025-01-17,2025-01-20,PCI-DSS,Encryption Control,vuln_scan_report.pdf,14,Application,3.0
C0074,In Progress,9,Finance,John,2025-02-07,,HIPAA,Firewall Configuration,firewall_config.png,14,Admin System,
C0075,In Progress,8,HR,Brian,2025-03-22,,PCI-DSS,Vulnerability Scan,firewall_config.png,7,Application,
C0076,In Progress,6,IT,Mark,2025-03-19,,PCI-DSS,Incident Response,access_review.xlsx,7,Admin System,
C0077,In Progress,3,IT,Brian,2025-02-14,,NIST,Patch Management,firewall_config.png,14,Admin System,
C0078,Completed,8,Risk,Mark,2025-01-06,2025-01-22,PCI-DSS,Vulnerability Scan,firewall_config.png,14,Admin System,16.0
C0079,Completed,9,IT,Brian,2025-02-04,2025-02-09,HIPAA,Incident Response,firewall_config.png,14,Database,5.0
C0080,Completed,1,IT,Jane,2025-01-14,2025-01-30,NIST,User Access Review,firewall_config.png,30,Database,16.0
C0081,In Progress,9,IT,Susan,2025-03-13,,HIPAA,Vulnerability Scan,firewall_config.png,7,Database,
C0082,Failed,6,Risk,Alice,2025-03-02,2025-03-05,NIST,Encryption Control,vuln_scan_report.pdf,30,Admin System,3.0
C0083,Completed,6,HR,Mark,2025-01-15,2025-02-04,NIST,Firewall Configuration,log_patch_001.pdf,30,Database,20.0
C0084,Completed,4,HR,Jane,2025-02-23,2025-03-10,PCI-DSS,Incident Response,incident_log.txt,7,Database,15.0
C0085,Completed,1,IT,Mark,2025-01-27,2025-01-30,HIPAA,Firewall Configuration,firewall_config.png,7,Database,3.0
C0086,Completed,8,Risk,Brian,2025-01-13,2025-02-02,NIST,Incident Response,incident_log.txt,30,Admin System,20.0
C0087,In Progress,2,HR,John,2025-01-31,,PCI-DSS,Vulnerability Scan,incident_log.txt,7,Admin System,
C0088,Failed,1,HR,Mark,2025-02-04,2025-02-18,NIST,User Access Review,vuln_scan_report.pdf,14,Admin System,14.0
C0089,In Progress,2,HR,Jane,2025-03-01,,NIST,Patch Management,firewall_config.png,14,Database,
C0090,Completed,1,Risk,Brian,2025-01-06,2025-01-22,NIST,Firewall Configuration,incident_log.txt,30,Application,16.0
C0091,Completed,1,Risk,Mary,2025-03-10,2025-03-27,NIST,Firewall Configuration,firewall_config.png,30,Database,17.0
C0092,In Progress,9,IT,Brian,2025-03-27,,NIST,Patch Management,access_review.xlsx,7,Database,
C0093,In Progress,1,Operations,Susan,2025-02-27,,NIST,Firewall Configuration,access_review.xlsx,7,Admin System,
C0094,Failed,4,HR,Alice,2025-02-18,2025-03-14,PCI-DSS,Firewall Configuration,access_review.xlsx,30,Admin System,24.0
C0095,In Progress,6,Operations,Mary,2025-01-23,,NIST,Incident Response,incident_log.txt,30,Database,
C0096,Completed,7,Risk,Susan,2025-03-30,2025-04-19,HIPAA,Incident Response,access_review.xlsx,14,Database,20.0
C0097,Failed,2,Risk,Susan,2025-02-03,2025-02-26,PCI-DSS,Patch Management,vuln_scan_report.pdf,14,Application,23.0
C0098,Completed,6,Risk,Susan,2025-01-26,2025-02-13,HIPAA,User Access Review,vuln_scan_report.pdf,7,Application,18.0
C0099,Completed,7,Operations,John,2025-02-16,2025-03-06,NIST,Vulnerability Scan,incident_log.txt,14,Admin System,18.0
C0100,Completed,2,Risk,Susan,2025-01-05,2025-01-27,HIPAA,Vulnerability Scan,firewall_config.png,7,Application,22.0
C0101,Completed,2,IT,John,2025-03-31,2025-04-14,NIST,Firewall Configuration,log_patch_001.pdf,7,Application,14.0
C0102,Failed,7,Risk,Susan,2025-01-20,2025-02-07,NIST,User Access Review,firewall_config.png,7,Admin System,18.0
C0103,Completed,1,Finance,David,2025-01-06,2025-01-21,PCI-DSS,Patch Management,firewall_config.png,14,Application,15.0
C0104,Failed,8,Operations,Jane,2025-03-11,2025-03-26,PCI-DSS,Patch Management,firewall_config.png,30,Database,15.0
C0105,In Progress,3,Finance,Mary,2025-02-28,,NIST,Incident Response,firewall_config.png,30,Application,
C0106,Completed,6,Risk,David,2025-03-05,2025-03-11,PCI-DSS,Firewall Configuration,log_patch_001.pdf,14,Admin System,6.0
C0107,Completed,9,IT,Susan,2025-01-18,2025-02-02,HIPAA,Encryption Control,access_review.xlsx,30,Database,15.0
C0108,In Progress,6,HR,Mary,2025-01-04,,PCI-DSS,Patch Management,firewall_config.png,7,Application,
C0109,Completed,9,Risk,Mary,2025-01-17,2025-02-04,PCI-DSS,Firewall Configuration,vuln_scan_report.pdf,30,Database,18.0
C0110,Completed,7,IT,Mark,2025-01-14,2025-01-18,HIPAA,User Access Review,incident_log.txt,14,Database,4.0
C0111,Completed,9,Operations,Alice,2025-03-19,2025-04-11,PCI-DSS,Incident Response,incident_log.txt,30,Application,23.0
C0112,Completed,2,Finance,David,2025-01-13,2025-01-21,NIST,Vulnerability Scan,vuln_scan_report.pdf,7,Application,8.0
C0113,In Progress,8,Finance,Alice,2025-01-07,,HIPAA,User Access Review,firewall_config.png,7,Admin System,
C0114,In Progress,8,Finance,Mary,2025-02-13,,NIST,Patch Management,log_patch_001.pdf,14,Admin System,
C0115,Failed,2,Operations,John,2025-01-15,2025-01-30,HIPAA,Patch Management,access_review.xlsx,14,Database,15.0
C0116,In Progress,4,IT,Mary,2025-01-19,,NIST,User Access Review,incident_log.txt,14,Admin System,
C0117,In Progress,7,Operations,Alice,2025-03-04,,NIST,Patch Management,access_review.xlsx,7,Database,
C0118,Completed,4,Finance,David,2025-02-04,2025-02-07,PCI-DSS,Firewall Configuration,log_patch_001.pdf,30,Database,3.0
C0119,In Progress,4,Risk,Susan,2025-03-22,,NIST,Patch Management,incident_log.txt,30,Admin System,
C0120,Failed,6,HR,Mark,2025-02-04,2025-02-19,PCI-DSS,Incident Response,access_review.xlsx,14,Admin System,15.0
C0121,In Progress,6,Operations,Mark,2025-01-19,,HIPAA,Firewall Configuration,log_patch_001.pdf,30,Admin System,
C0122,In Progress,3,Operations,Mark,2025-01-20,,NIST,Encryption Control,access_review.xlsx,30,Application,
C0123,Completed,9,IT,Susan,2025-02-04,2025-02-17,NIST,Patch Management,firewall_config.png,14,Database,13.0
C0124,Completed,2,IT,Mark,2025-02-01,2025-02-10,HIPAA,Patch Management,log_patch_001.pdf,14,Database,9.0
C0125,Completed,6,Operations,David,2025-02-17,2025-02-19,HIPAA,Incident Response,access_review.xlsx,7,Database,2.0
C0126,Completed,7,Finance,Susan,2025-02-13,2025-03-09,NIST,Incident Response,firewall_config.png,7,Admin System,24.0
C0127,In Progress,9,HR,Mark,2025-01-24,,HIPAA,Vulnerability Scan,firewall_config.png,7,Admin System,
C0128,In Progress,3,IT,Susan,2025-03-02,,PCI-DSS,User Access Review,log_patch_001.pdf,7,Admin System,
C0129,Completed,3,Finance,Alice,2025-01-17,2025-01-25,HIPAA,User Access Review,vuln_scan_report.pdf,30,Admin System,8.0
C0130,Failed,7,Risk,Jane,2025-03-12,2025-04-01,HIPAA,User Access Review,incident_log.txt,30,Admin System,20.0
C0131,Completed,4,IT,Jane,2025-02-19,2025-03-08,NIST,Incident Response,log_patch_001.pdf,7,Application,17.0
C0132,Completed,8,Finance,David,2025-03-06,2025-03-19,PCI-DSS,User Access Review,firewall_config.png,7,Admin System,13.0
C0133,Completed,7,Finance,Brian,2025-02-01,2025-02-02,HIPAA,User Access Review,firewall_config.png,14,Database,1.0
C0134,Completed,5,HR,John,2025-02-05,2025-02-07,PCI-DSS,Encryption Control,log_patch_001.pdf,30,Admin System,2.0
C0135,In Progress,7,HR,Mark,2025-01-13,,PCI-DSS,User Access Review,vuln_scan_report.pdf,30,Database,
C0136,Completed,3,Risk,John,2025-03-11,2025-03-26,PCI-DSS,Patch Management,incident_log.txt,7,Admin System,15.0
C0137,Failed,2,Finance,Susan,2025-02-27,2025-03-11,NIST,Vulnerability Scan,access_review.xlsx,30,Admin System,12.0
C0138,In Progress,6,Finance,John,2025-01-14,,HIPAA,Incident Response,log_patch_001.pdf,14,Database,
C0139,Completed,2,HR,David,2025-02-06,2025-02-20,NIST,Firewall Configuration,incident_log.txt,14,Database,14.0
C0140,In Progress,3,IT,David,2025-03-20,,HIPAA,Vulnerability Scan,incident_log.txt,30,Database,
C0141,In Progress,6,IT,Mary,2025-03-09,,HIPAA,Encryption Control,firewall_config.png,7,Database,
C0142,Completed,5,Operations,Jane,2025-02-09,2025-02-11,NIST,Incident Response,access_review.xlsx,30,Application,2.0
C0143,Completed,8,HR,Mark,2025-02-28,2025-03-18,PCI-DSS,Incident Response,log_patch_001.pdf,14,Database,18.0
C0144,Completed,9,Operations,Mary,2025-03-21,2025-04-12,PCI-DSS,Patch Management,firewall_config.png,7,Admin System,22.0
C0145,Completed,3,HR,John,2025-01-16,2025-01-23,HIPAA,Vulnerability Scan,firewall_config.png,30,Admin System,7.0
C0146,Completed,3,Risk,Brian,2025-03-03,2025-03-26,NIST,Vulnerability Scan,vuln_scan_report.pdf,7,Application,23.0
C0147,Failed,3,Finance,Mary,2025-01-04,2025-01-10,PCI-DSS,User Access Review,incident_log.txt,7,Database,6.0
C0148,Failed,6,Risk,Mary,2025-02-14,2025-02-28,PCI-DSS,Patch Management,log_patch_001.pdf,14,Admin System,14.0
C0149,Completed,1,HR,David,2025-03-31,2025-04-08,HIPAA,User Access Review,log_patch_001.pdf,7,Application,8.0
C0150,Completed,7,Finance,Brian,2025-01-28,2025-02-19,HIPAA,User Access Review,log_patch_001.pdf,30,Admin System,22.0
C0151,In Progress,1,IT,Susan,2025-03-07,,NIST,Incident Response,firewall_config.png,7,Application,
C0152,Completed,5,IT,John,2025-01-31,2025-02-02,HIPAA,Vulnerability Scan,vuln_scan_report.pdf,7,Application,2.0
C0153,Completed,8,Operations,Mary,2025-01-03,2025-01-20,PCI-DSS,User Access Review,access_review.xlsx,30,Database,17.0
C0154,Completed,4,HR,Brian,2025-01-08,2025-01-13,PCI-DSS,Encryption Control,firewall_config.png,14,Application,5.0
C0155,In Progress,5,HR,Jane,2025-01-24,,PCI-DSS,Encryption Control,access_review.xlsx,14,Admin System,
C0156,Completed,4,IT,Mark,2025-01-15,2025-01-29,PCI-DSS,Vulnerability Scan,vuln_scan_report.pdf,30,Admin System,14.0
C0157,Failed,4,Risk,Brian,2025-02-12,2025-03-08,NIST,Encryption Control,incident_log.txt,30,Database,24.0
C0158,In Progress,8,Finance,Jane,2025-01-31,,NIST,Incident Response,log_patch_001.pdf,14,Database,
C0159,Completed,2,Risk,John,2025-03-14,2025-04-03,HIPAA,Patch Management,access_review.xlsx,7,Application,20.0
C0160,In Progress,1,Risk,Brian,2025-02-14,,HIPAA,Firewall Configuration,firewall_config.png,30,Database,
C0161,Completed,3,IT,Jane,2025-03-07,2025-03-28,HIPAA,User Access Review,access_review.xlsx,7,Admin System,21.0
C0162,Failed,9,IT,Brian,2025-01-08,2025-01-29,NIST,Firewall Configuration,incident_log.txt,30,Admin System,21.0
C0163,Failed,4,IT,Brian,2025-03-12,2025-04-03,PCI-DSS,Patch Management,log_patch_001.pdf,14,Database,22.0
C0164,Failed,5,Operations,Mark,2025-02-26,2025-03-01,HIPAA,Patch Management,access_review.xlsx,7,Database,3.0
C0165,Completed,2,Risk,Jane,2025-03-21,2025-03-26,PCI-DSS,Incident Response,incident_log.txt,7,Database,5.0
C0166,In Progress,4,HR,Jane,2025-01-30,,HIPAA,Encryption Control,firewall_config.png,30,Application,
C0167,Completed,2,Finance,Mary,2025-03-15,2025-03-31,HIPAA,Encryption Control,vuln_scan_report.pdf,7,Application,16.0
C0168,Completed,2,Operations,John,2025-01-18,2025-02-05,HIPAA,Patch Management,firewall_config.png,30,Admin System,18.0
C0169,Completed,4,HR,Mark,2025-03-10,2025-03-27,HIPAA,Incident Response,log_patch_001.pdf,14,Application,17.0
C0170,Failed,6,Risk,Brian,2025-02-08,2025-02-19,HIPAA,Incident Response,firewall_config.png,7,Application,11.0
C0171,Failed,7,IT,Brian,2025-03-01,2025-03-18,PCI-DSS,Vulnerability Scan,firewall_config.png,30,Application,17.0
C0172,Completed,3,Risk,Mary,2025-02-12,2025-02-28,HIPAA,User Access Review,firewall_config.png,7,Application,16.0
C0173,Failed,3,Finance,John,2025-02-14,2025-03-09,PCI-DSS,Encryption Control,firewall_config.png,30,Admin System,23.0
C0174,Completed,6,Operations,David,2025-01-23,2025-01-25,NIST,Patch Management,log_patch_001.pdf,30,Database,2.0
C0175,Failed,3,Operations,Mark,2025-03-10,2025-03-14,HIPAA,Vulnerability Scan,incident_log.txt,30,Admin System,4.0
C0176,Completed,2,Finance,Mary,2025-01-06,2025-01-27,PCI-DSS,Firewall Configuration,access_review.xlsx,14,Application,21.0
C0177,Failed,8,HR,John,2025-02-25,2025-03-04,NIST,Encryption Control,vuln_scan_report.pdf,7,Database,7.0
C0178,Completed,5,HR,Mark,2025-01-04,2025-01-06,NIST,User Access Review,access_review.xlsx,14,Database,2.0
C0179,In Progress,1,Operations,Brian,2025-01-23,,NIST,Incident Response,access_review.xlsx,30,Database,
C0180,Completed,3,Operations,John,2025-01-06,2025-01-12,PCI-DSS,Patch Management,vuln_scan_report.pdf,30,Admin System,6.0
C0181,Completed,8,IT,John,2025-02-01,2025-02-18,HIPAA,Encryption Control,log_patch_001.pdf,14,Database,17.0
C0182,Completed,4,HR,Susan,2025-01-18,2025-01-25,HIPAA,Firewall Configuration,vuln_scan_report.pdf,14,Admin System,7.0
C0183,In Progress,7,Finance,John,2025-01-15,,PCI-DSS,User Access Review,log_patch_001.pdf,7,Admin System,
C0184,In Progress,2,HR,David,2025-02-09,,HIPAA,User Access Review,access_review.xlsx,30,Application,
C0185,Completed,7,IT,John,2025-03-14,2025-03-19,PCI-DSS,Vulnerability Scan,log_patch_001.pdf,14,Application,5.0
C0186,Failed,5,Operations,David,2025-03-15,2025-03-20,HIPAA,Encryption Control,incident_log.txt,30,Database,5.0
C0187,In Progress,5,Operations,Brian,2025-03-25,,NIST,Firewall Configuration,vuln_scan_report.pdf,30,Database,
C0188,Failed,6,IT,David,2025-01-06,2025-01-26,HIPAA,User Access Review,incident_log.txt,7,Application,20.0
C0189,Failed,9,Finance,Mark,2025-03-04,2025-03-20,PCI-DSS,Patch Management,access_review.xlsx,7,Admin System,16.0
C0190,Completed,6,Operations,Brian,2025-03-08,2025-03-27,PCI-DSS,User Access Review,vuln_scan_report.pdf,7,Admin System,19.0
C0191,Completed,8,Risk,Brian,2025-01-11,2025-01-20,NIST,Firewall Configuration,access_review.xlsx,14,Application,9.0
C0192,In Progress,7,Operations,David,2025-02-12,,PCI-DSS,Incident Response,incident_log.txt,30,Admin System,
C0193,In Progress,9,Risk,Jane,2025-01-17,,HIPAA,Incident Response,access_review.xlsx,14,Application,
C0194,Failed,4,IT,Mary,2025-01-04,2025-01-09,HIPAA,Vulnerability Scan,vuln_scan_report.pdf,14,Application,5.0
C0195,Completed,2,IT,Alice,2025-03-04,2025-03-12,NIST,Encryption Control,vuln_scan_report.pdf,7,Database,8.0
C0196,Completed,7,Operations,Jane,2025-03-09,2025-03-18,PCI-DSS,Firewall Configuration,access_review.xlsx,30,Database,9.0
C0197,In Progress,6,HR,John,2025-03-22,,NIST,Vulnerability Scan,vuln_scan_report.pdf,30,Application,
C0198,In Progress,1,Risk,Susan,2025-02-10,,HIPAA,User Access Review,vuln_scan_report.pdf,7,Database,
C0199,In Progress,9,Finance,Alice,2025-03-24,,NIST,User Access Review,access_review.xlsx,30,Application,
C0200,In Progress,9,Operations,John,2025-01-05,,PCI-DSS,Incident Response,incident_log.txt,7,Admin System,
C0201,Failed,2,Finance,Jane,2025-02-01,2025-02-06,NIST,Vulnerability Scan,vuln_scan_report.pdf,14,Admin System,5.0
C0202,Completed,3,Operations,Jane,2025-03-27,2025-04-06,PCI-DSS,Incident Response,vuln_scan_report.pdf,14,Admin System,10.0
C0203,Completed,5,HR,John,2025-03-11,2025-03-13,PCI-DSS,Patch Management,vuln_scan_report.pdf,7,Admin System,2.0
C0204,In Progress,5,HR,Brian,2025-02-04,,HIPAA,Incident Response,vuln_scan_report.pdf,14,Application,
C0205,Failed,1,HR,John,2025-01-22,2025-01-31,HIPAA,Patch Management,access_review.xlsx,14,Admin System,9.0
C0206,Completed,8,HR,Susan,2025-03-06,2025-03-17,HIPAA,User Access Review,incident_log.txt,7,Admin System,11.0
C0207,Completed,8,IT,Jane,2025-03-25,2025-03-29,PCI-DSS,Vulnerability Scan,incident_log.txt,14,Admin System,4.0
C0208,Failed,4,IT,John,2025-01-22,2025-02-13,NIST,Patch Management,log_patch_001.pdf,30,Admin System,22.0
C0209,Completed,7,Risk,David,2025-01-11,2025-02-02,PCI-DSS,Vulnerability Scan,vuln_scan_report.pdf,14,Application,22.0
C0210,Completed,3,Finance,Alice,2025-03-18,2025-04-09,HIPAA,Vulnerability Scan,vuln_scan_report.pdf,7,Admin System,22.0
C0211,Failed,6,Operations,David,2025-01-03,2025-01-05,HIPAA,Patch Management,log_patch_001.pdf,30,Database,2.0
C0212,Failed,9,Operations,Susan,2025-01-09,2025-02-01,NIST,Encryption Control,incident_log.txt,30,Database,23.0
C0213,Failed,1,IT,John,2025-03-01,2025-03-07,HIPAA,Incident Response,firewall_config.png,14,Database,6.0
C0214,Completed,5,Operations,Mark,2025-03-17,2025-03-31,HIPAA,Patch Management,firewall_config.png,30,Database,14.0
C0215,In Progress,4,IT,Susan,2025-03-28,,HIPAA,User Access Review,incident_log.txt,7,Database,
C0216,Completed,8,Risk,Brian,2025-01-14,2025-01-15,NIST,Vulnerability Scan,vuln_scan_report.pdf,30,Database,1.0
C0217,Completed,1,Finance,David,2025-01-18,2025-02-05,PCI-DSS,Firewall Configuration,firewall_config.png,14,Application,18.0
C0218,In Progress,9,Risk,David,2025-03-14,,HIPAA,Patch Management,access_review.xlsx,14,Database,
C0219,Failed,6,HR,Mary,2025-01-23,2025-01-30,NIST,Incident Response,access_review.xlsx,30,Admin System,7.0
C0220,In Progress,4,HR,John,2025-03-15,,HIPAA,Vulnerability Scan,log_patch_001.pdf,7,Database,
C0221,Failed,9,HR,Brian,2025-03-24,2025-03-25,NIST,Encryption Control,incident_log.txt,7,Application,1.0
C0222,Failed,5,Risk,Mark,2025-02-16,2025-02-17,HIPAA,User Access Review,incident_log.txt,14,Database,1.0
C0223,Completed,5,Operations,David,2025-03-10,2025-03-11,NIST,Encryption Control,firewall_config.png,14,Admin System,1.0
C0224,Completed,5,Finance,David,2025-02-16,2025-03-12,HIPAA,Firewall Configuration,vuln_scan_report.pdf,7,Admin System,24.0
C0225,Completed,1,HR,Brian,2025-03-28,2025-04-01,PCI-DSS,Patch Management,incident_log.txt,30,Application,4.0
